Player,q_lower,iqr_lower,median,iqr_upper,q_upper
e5478b87,-0.18565955,0.011043525,0.1172185,0.24215575,0.501116449999999
e61b8aee,-0.27451355,-0.044479775,0.06469835,0.18982225,0.460154299999999
e77dc3b2,-0.384601275,-0.163768,-0.0648551,0.0236499,0.2086323
e8832875,-0.49699765,-0.22326425,-0.09763985,0.0073065325,0.2151352
ed1e53f3,-0.00388352525,0.18296025,0.316632,0.4543855,0.70623445
ed5c0319,-0.53638115,-0.24140025,-0.1057215,0.00574272,0.217275125
ee38d9c5,-0.37446105,-0.130845,-0.0272715,0.072738325,0.28198325
efd2ec23,-0.220165275,6.6632475e-05,0.109556,0.2387855,0.521434575
f2bf1b0f,-0.4434765,-0.16118425,-0.04477125,0.0615933,0.2931214
f84a807c,-0.336730825,-0.08967655,0.0190621,0.134245,0.40076345
fa031b34,-0.366047175,-0.127227,-0.02155095,0.0769249,0.294943625
fc15fb84,-0.249200825,-0.0271426,0.0777175,0.2001895,0.461439099999999
fed7cb61,-0.405378575,-0.17889725,-0.072585,0.02018495,0.205499575
