Player,Shirt Number,Nation,Position,Age,Minutes,Goals,Assists_x,Penalty Kicks Made,Penalty Kicks Attempted,Shots Total,Shots on Target,Yellow Cards_x,Red Cards_x,Touches_x,Tackles_x,Interceptions_x,Blocks_x,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals_x,Shot-Creating Actions,Goal-Creating Actions,Passes Completed_x,Passes Attempted_x,Pass Completion %_x,Progressive Passes_x,Carries_x,Progressive Carries_x,Take-Ons Attempted_x,Successful Take-Ons_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes Completed_y,Passes Attempted_y,Pass Completion %_y,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists_y,xAG: Exp. Assisted Goals_y,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes_y,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses_x,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked_x,Tackles_y,Tackles Won_x,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks_y,Shots Blocked,Passes Blocked_y,Interceptions_y,Tkl+Int,Clearances,Errors,Touches_y,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted_y,Successful Take-Ons_y,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries_y,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries_y,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Yellow Cards_y,Red Cards_y,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses_y,Interceptions,Tackles Won_y,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Simple_Position,Point_won
Jonny Evans,35,nir NIR,CB,36-011,62,0,0,0,0,0,0,0,0,35,2,2,2,0.0,0.0,0.0,0,0,18,21,85.7,0,12,0,0,0,19538871,904ed2f9,f8fcd2a5,19538871,2,361ca564,2,18,21,85.7,310,91,8,8,100.0,10,10,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,21,20,1,1,0,0,0,0,0,0,0,0,18,0,1,2,1,1,1,0,1,1,100.0,0,2,1,1,2,4,5,0,35,13,25,10,0,0,35,0,0,,0,,12,34,3,0,0,0,1,1,17,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,100.0,Defenders,0.5
Lisandro Martinez,6,ar ARG,CB,25-361,28,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,10,0,1,0,19538871,904ed2f9,bac46a10,19538871,2,361ca564,2,14,15,93.3,251,89,5,5,100.0,9,9,100.0,0,0,,0,0.0,0.0,0,2,0,0,0,15,12,2,2,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,1,10,6,0,0,16,1,0,0.0,1,100.0,10,66,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Defenders,0.5
Diogo Dalot,20,pt POR,RB,24-302,90,0,0,0,0,1,0,0,0,59,6,1,5,0.0,0.0,0.0,0,0,29,45,64.4,4,22,0,2,2,19538871,904ed2f9,d9565625,19538871,2,361ca564,2,29,45,64.4,593,192,10,11,90.9,14,22,63.6,5,10,50.0,0,0.0,0.0,0,4,1,0,4,45,33,12,1,0,1,5,10,1,0,1,0,29,0,2,6,4,5,0,1,3,3,100.0,0,5,2,3,1,7,4,0,59,12,26,20,14,2,59,2,2,100.0,0,0.0,22,217,137,0,2,0,0,0,22,2,0,0,0,0,0,0,5,1,4,0,0,0,8,1,0,100.0,Defenders,0.5
Richarlison,9,br BRA,FW,26-249,90,1,0,0,0,2,2,0,0,36,2,0,2,0.3,0.3,0.0,1,0,18,26,69.2,2,16,1,1,0,361ca564,904ed2f9,fa031b34,19538871,2,361ca564,2,18,26,69.2,269,39,12,14,85.7,6,9,66.7,0,0,,0,0.0,0.0,1,0,0,0,2,26,23,3,0,0,0,2,0,0,0,0,0,18,0,3,2,2,0,1,1,0,0,,0,2,0,2,0,2,1,0,36,0,4,14,18,8,36,1,0,0.0,1,100.0,16,69,15,1,0,1,4,2,27,5,0,0,0,0,2,0,2,0,2,0,0,0,3,1,0,100.0,Forward,0.5
Timo Werner,16,de GER,LW,27-314,79,0,1,0,0,5,0,0,0,45,0,0,0,0.3,0.3,0.1,3,2,32,36,88.9,2,32,12,1,0,361ca564,904ed2f9,49fe9070,19538871,2,361ca564,2,32,36,88.9,426,61,19,19,100.0,10,11,90.9,1,1,100.0,1,0.1,0.1,1,0,0,0,2,36,36,0,0,0,0,1,0,0,0,0,0,32,0,2,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0,45,0,4,13,28,10,45,1,0,0.0,1,100.0,32,316,220,12,4,6,1,1,37,9,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,,Forward,0.5
Bryan Gil,11,es ESP,LW,22-337,11,0,0,0,0,0,0,0,0,15,0,2,0,0.0,0.0,0.0,0,0,10,13,76.9,0,12,1,0,0,361ca564,904ed2f9,7b5ab7f2,19538871,2,361ca564,2,10,13,76.9,142,12,4,4,100.0,6,8,75.0,0,0,,0,0.0,0.0,0,1,0,0,0,13,13,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,15,0,2,10,3,0,15,0,0,,0,,12,61,41,1,0,0,0,1,13,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0.0,Forward,0.5
Brennan Johnson,22,wls WAL,RW,22-236,90,0,0,0,0,2,1,0,0,43,2,1,4,0.1,0.1,0.0,2,0,19,26,73.1,4,27,4,6,1,361ca564,904ed2f9,0cd31129,19538871,2,361ca564,2,19,26,73.1,354,84,11,12,91.7,5,9,55.6,3,3,100.0,0,0.0,0.0,1,5,0,0,4,26,25,1,0,0,0,7,1,0,0,0,0,19,0,2,2,2,1,0,1,2,4,50.0,2,4,0,4,1,3,0,0,43,0,3,19,21,4,43,6,1,16.7,4,66.7,27,194,104,4,2,3,3,0,35,14,0,0,0,1,2,3,7,1,2,0,0,0,1,0,0,,Forward,0.5
Oliver Skipp,4,eng ENG,LM,23-120,84,0,0,0,0,1,0,0,0,36,1,1,3,0.0,0.0,0.2,5,1,26,29,89.7,6,9,1,0,0,361ca564,904ed2f9,6250083a,19538871,2,361ca564,2,26,29,89.7,346,141,17,18,94.4,8,9,88.9,1,1,100.0,0,0.2,0.0,3,6,2,0,6,29,28,0,0,0,0,0,0,0,0,0,0,26,1,0,1,1,0,0,1,1,1,100.0,0,3,0,3,1,2,0,0,36,0,2,19,15,1,36,0,0,,0,,9,38,25,1,0,0,1,0,21,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,50.0,Midfielders,0.5
Radu Dragusin,6,ro ROU,"CB,RM",21-345,6,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,0,5,0,0,0,361ca564,904ed2f9,620922ed,19538871,2,361ca564,2,8,8,100.0,151,48,3,3,100.0,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,10,1,4,6,0,0,10,0,0,,0,,5,19,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Defenders,0.5
Pierre Hojbjerg,5,dk DEN,CM,28-162,90,0,0,0,0,1,0,0,0,106,2,0,1,0.1,0.1,0.0,3,0,79,93,84.9,12,68,1,2,0,361ca564,904ed2f9,8b04d6c1,19538871,2,361ca564,2,79,93,84.9,1435,460,33,38,86.8,34,37,91.9,9,12,75.0,0,0.0,0.0,1,7,0,0,12,93,89,3,1,0,2,2,2,0,0,0,0,79,1,0,2,1,0,2,0,1,4,25.0,3,1,0,1,0,2,1,0,106,1,15,77,14,0,106,2,0,0.0,2,100.0,68,313,142,1,0,0,3,2,88,1,0,0,0,0,0,0,2,0,1,0,0,0,7,1,0,100.0,Midfielders,0.5
Rodrigo Bentancur,30,uy URU,"RM,CM",26-203,90,1,0,0,0,3,1,1,0,73,2,0,1,0.3,0.3,0.0,2,0,49,60,81.7,5,35,2,1,0,361ca564,904ed2f9,3b8674e6,19538871,2,361ca564,2,49,60,81.7,849,291,23,25,92.0,18,25,72.0,7,9,77.8,0,0.0,0.1,0,8,1,0,5,60,59,1,1,1,0,2,0,0,0,0,0,49,0,0,2,1,2,0,0,1,2,50.0,1,1,1,0,0,2,1,0,73,4,20,38,15,3,73,1,0,0.0,1,100.0,35,123,57,2,1,0,2,3,60,6,1,0,0,0,1,0,2,0,1,0,0,0,5,0,2,0.0,Midfielders,0.5
Destiny Udogie,38,it ITA,"LB,LM",21-047,90,0,0,0,0,0,0,0,0,71,5,3,2,0.0,0.0,0.0,2,0,45,51,88.2,4,31,0,3,2,361ca564,904ed2f9,7cd520e8,19538871,2,361ca564,2,45,51,88.2,713,247,24,26,92.3,21,22,95.5,0,1,0.0,0,0.0,0.0,1,2,0,0,4,51,39,12,1,0,0,1,11,0,0,0,0,45,0,2,5,2,5,0,0,3,3,100.0,0,2,0,2,3,8,5,0,71,8,28,27,17,4,71,3,2,66.7,1,33.3,31,201,86,0,2,2,2,1,30,2,0,0,0,2,0,0,1,3,2,0,0,0,7,1,1,50.0,Defenders,0.5
