Player,Shirt Number,Nation,Position,Age,Minutes,Goals,Assists_x,Penalty Kicks Made,Penalty Kicks Attempted,Shots Total,Shots on Target,Yellow Cards_x,Red Cards_x,Touches_x,Tackles_x,Interceptions_x,Blocks_x,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals_x,Shot-Creating Actions,Goal-Creating Actions,Passes Completed_x,Passes Attempted_x,Pass Completion %_x,Progressive Passes_x,Carries_x,Progressive Carries_x,Take-Ons Attempted_x,Successful Take-Ons_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes Completed_y,Passes Attempted_y,Pass Completion %_y,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists_y,xAG: Exp. Assisted Goals_y,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes_y,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses_x,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked_x,Tackles_y,Tackles Won_x,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks_y,Shots Blocked,Passes Blocked_y,Interceptions_y,Tkl+Int,Clearances,Errors,Touches_y,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted_y,Successful Take-Ons_y,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries_y,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries_y,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Yellow Cards_y,Red Cards_y,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses_y,Interceptions,Tackles Won_y,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Simple_Position,Point_won
Aleksandar Mitrovic,9,rs SRB,FW,27-324,90,2,0,1,1,2,1,0,0,45,1,1,1,0.9,0.2,0.1,4,1,10,28,35.7,4,26,4,2,2,fd962109,6713c1dc,3925dbd6,fd962109,2,822bd0ba,2,10,28,35.7,143,20,7,15,46.7,2,7,28.6,1,1,100.0,0,0.1,0.0,1,1,0,0,4,28,28,0,0,1,0,0,0,0,0,0,0,10,0,4,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,3,0,45,4,10,18,18,4,44,2,2,100.0,0,0.0,26,140,70,4,3,2,4,1,32,6,0,0,0,1,4,1,0,1,0,1,0,0,7,11,3,78.6,Forward,0.5
Bobby De Cordova-Reid,14,jm JAM,"LW,RW",29-185,89,0,0,0,0,1,1,1,0,37,2,0,0,0.0,0.0,0.1,1,0,19,26,73.1,1,30,3,1,1,fd962109,6713c1dc,0f7533cd,fd962109,2,822bd0ba,2,19,26,73.1,249,62,12,12,100.0,6,9,66.7,0,0,,0,0.1,0.0,1,0,2,1,1,26,25,0,0,0,0,4,0,0,0,0,0,19,1,2,2,1,0,0,2,0,0,,0,0,0,0,0,2,1,0,37,1,6,13,20,1,37,1,1,100.0,0,0.0,30,153,103,3,2,1,2,2,28,10,1,0,0,0,1,0,4,0,1,0,0,0,7,1,1,50.0,Forward,0.5
Shane Duffy,5,ie IRL,RW,30-217,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,fd962109,6713c1dc,7314bba4,fd962109,2,822bd0ba,2,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,0.5
Neeskens Kebano,7,cd COD,RW,30-149,65,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.1,1,1,11,15,73.3,1,19,0,2,1,fd962109,6713c1dc,18b999f4,fd962109,2,822bd0ba,2,11,15,73.3,123,19,4,5,80.0,4,5,80.0,0,1,0.0,0,0.1,0.0,1,0,0,0,1,15,15,0,0,0,1,1,0,0,0,0,0,11,0,1,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,23,0,2,6,15,4,23,2,1,50.0,1,50.0,19,60,21,0,0,0,1,1,16,2,0,0,0,1,1,2,1,0,0,0,0,0,5,0,2,0.0,Forward,0.5
Manor Solomon,11,il ISR,"LW,RW",23-013,25,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,1,1,2,3,66.7,1,6,0,2,0,fd962109,6713c1dc,886f9aac,fd962109,2,822bd0ba,2,2,3,66.7,44,33,1,1,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,10,1,6,2,2,0,10,2,0,0.0,2,100.0,6,23,5,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Forward,0.5
Andreas Pereira,18,br BRA,AM,26-217,88,0,0,0,0,1,0,0,0,37,0,0,0,0.1,0.1,0.0,2,0,16,30,53.3,2,24,1,1,0,fd962109,6713c1dc,6639e500,fd962109,2,822bd0ba,2,16,30,53.3,251,141,12,18,66.7,1,2,50.0,3,8,37.5,0,0.0,0.1,1,3,0,0,2,30,24,5,1,0,0,6,0,4,2,1,0,16,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,0,4,12,22,2,37,1,0,0.0,1,100.0,24,98,52,1,0,1,3,0,24,6,0,0,0,2,0,1,6,0,0,0,0,0,3,1,0,100.0,Midfielders,0.5
Tom Cairney,10,sct SCO,AM,31-198,2,0,0,0,0,0,0,0,0,4,1,0,2,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,fd962109,6713c1dc,a8748947,fd962109,2,822bd0ba,2,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,100.0,0,2,0,2,0,1,0,0,4,0,1,1,2,0,4,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielders,0.5
Joao Palhinha,26,pt POR,DM,27-028,90,0,0,0,0,2,0,0,0,43,6,1,3,0.1,0.1,0.0,1,0,20,26,76.9,6,12,0,1,0,fd962109,6713c1dc,a78ff07f,fd962109,2,822bd0ba,2,20,26,76.9,315,99,10,14,71.4,8,9,88.9,1,2,50.0,0,0.0,0.0,0,5,0,0,6,26,22,4,1,0,0,0,0,0,0,0,0,20,0,0,6,4,1,4,1,2,2,100.0,0,3,0,3,1,7,1,0,43,1,5,32,6,3,43,1,0,0.0,0,0.0,12,21,10,0,0,0,1,1,9,1,0,0,0,1,1,0,0,1,4,0,0,0,4,2,3,40.0,Midfielders,0.5
Harrison Reed,6,eng ENG,DM,27-191,90,0,0,0,0,1,0,0,0,51,3,2,1,0.1,0.1,0.0,1,0,19,34,55.9,3,23,1,1,0,fd962109,6713c1dc,803ae100,fd962109,2,822bd0ba,2,19,34,55.9,204,72,13,18,72.2,2,8,25.0,1,3,33.3,0,0.0,0.0,1,2,1,0,3,34,33,0,0,0,0,2,0,0,0,0,0,19,1,0,3,2,2,0,1,1,2,50.0,1,1,1,0,2,5,3,0,51,5,12,27,12,2,51,1,0,0.0,1,100.0,23,90,43,1,0,0,5,0,22,2,0,0,0,0,0,0,2,2,2,0,0,0,5,3,1,75.0,Midfielders,0.5
Antonee Robinson,33,us USA,LB,24-363,90,0,0,0,0,0,0,0,0,55,1,2,0,0.0,0.0,0.0,0,0,27,46,58.7,3,26,0,0,0,fd962109,6713c1dc,289601e6,fd962109,2,822bd0ba,2,27,46,58.7,418,279,11,13,84.6,12,18,66.7,2,11,18.2,0,0.0,0.0,0,1,1,0,3,46,37,9,0,0,0,3,9,0,0,0,0,27,0,2,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,5,0,55,6,26,22,7,0,55,0,0,,0,,26,77,27,0,0,0,0,0,17,2,0,0,0,1,0,0,3,2,1,0,0,0,10,0,0,,Defenders,0.5
