Player,Shirt Number,Nation,Position,Age,Minutes,Goals,Assists_x,Penalty Kicks Made,Penalty Kicks Attempted,Shots Total,Shots on Target,Yellow Cards_x,Red Cards_x,Touches_x,Tackles_x,Interceptions_x,Blocks_x,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals_x,Shot-Creating Actions,Goal-Creating Actions,Passes Completed_x,Passes Attempted_x,Pass Completion %_x,Progressive Passes_x,Carries_x,Progressive Carries_x,Take-Ons Attempted_x,Successful Take-Ons_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes Completed_y,Passes Attempted_y,Pass Completion %_y,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists_y,xAG: Exp. Assisted Goals_y,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes_y,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses_x,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked_x,Tackles_y,Tackles Won_x,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks_y,Shots Blocked,Passes Blocked_y,Interceptions_y,Tkl+Int,Clearances,Errors,Touches_y,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted_y,Successful Take-Ons_y,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries_y,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries_y,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Yellow Cards_y,Red Cards_y,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses_y,Interceptions,Tackles Won_y,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Simple_Position,Point_won
Tim Ream,13,us USA,CB,34-305,90,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,2,0,19,27,70.4,4,18,0,1,1,fd962109,6713c1dc,28b40c9c,fd962109,2,822bd0ba,2,19,27,70.4,397,221,8,9,88.9,7,9,77.8,3,8,37.5,0,0.0,0.0,0,3,0,0,4,27,26,1,1,0,0,0,0,0,0,0,0,19,0,0,1,0,1,0,0,1,2,50.0,1,1,1,0,1,2,6,0,41,10,21,17,3,1,41,1,1,100.0,0,0.0,18,46,15,0,0,0,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,100.0,Defenders,0.5
Tosin Adarabioyo,4,eng ENG,CB,24-316,90,0,0,0,0,0,0,0,0,37,2,1,0,0.0,0.0,0.0,0,0,17,26,65.4,5,12,0,0,0,fd962109,6713c1dc,c81d773d,fd962109,2,822bd0ba,2,17,26,65.4,370,161,6,9,66.7,8,10,80.0,3,6,50.0,0,0.0,0.0,0,5,0,0,5,26,25,1,1,0,1,0,0,0,0,0,0,17,0,1,2,0,2,0,0,0,0,,0,0,0,0,1,3,7,0,37,10,19,17,1,0,37,0,0,,0,,12,55,30,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,100.0,Defenders,0.5
Kenny Tete,2,nl NED,RB,26-301,90,0,1,0,0,0,0,1,0,58,5,2,1,0.0,0.0,0.1,1,1,30,47,63.8,1,18,1,0,0,fd962109,6713c1dc,77d7c96f,fd962109,2,822bd0ba,2,30,47,63.8,415,214,21,26,80.8,6,13,46.2,2,3,66.7,1,0.1,0.1,1,3,1,1,1,47,31,15,2,0,0,3,13,0,0,0,0,30,1,3,5,5,3,0,2,2,2,100.0,0,1,0,1,2,7,5,0,58,4,13,29,16,0,58,0,0,,0,,18,40,12,1,0,0,0,0,15,1,1,0,0,1,1,0,3,2,5,0,0,0,4,1,3,25.0,Defenders,0.5
Roberto Firmino,9,br BRA,FW,30-308,50,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,19,26,73.1,3,15,1,0,0,822bd0ba,6713c1dc,4c370d81,fd962109,2,822bd0ba,2,19,26,73.1,233,54,16,20,80.0,2,4,50.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3,26,24,1,0,0,0,0,1,0,0,0,0,19,1,0,1,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,33,1,5,17,12,3,33,0,0,,0,,15,86,15,1,0,1,2,2,22,3,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0,Forward,0.5
Darwin Nunez,27,uy URU,FW,23-043,40,1,1,0,0,4,2,0,0,13,0,0,0,0.6,0.6,0.5,1,0,5,6,83.3,1,6,0,1,0,822bd0ba,6713c1dc,4d77b365,fd962109,2,822bd0ba,2,5,6,83.3,90,32,2,3,66.7,1,1,100.0,1,1,100.0,1,0.5,0.1,2,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,0,3,10,8,13,1,0,0.0,1,100.0,6,8,3,0,1,0,1,1,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,60.0,Forward,0.5
Luis Diaz,23,co COL,LW,25-205,77,0,0,0,0,2,0,0,0,31,0,0,1,0.2,0.2,0.0,1,0,19,23,82.6,2,19,0,2,1,822bd0ba,6713c1dc,4a1a9578,fd962109,2,822bd0ba,2,19,23,82.6,264,41,12,15,80.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,23,23,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,31,1,2,14,15,3,31,2,1,50.0,0,0.0,19,92,33,0,1,0,1,4,28,8,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0,Forward,0.5
Fabio Carvalho,28,pt POR,LW,19-341,13,0,0,0,0,1,0,0,0,5,0,2,0,0.0,0.0,0.0,1,1,2,2,100.0,0,1,0,0,0,822bd0ba,6713c1dc,966e28d0,fd962109,2,822bd0ba,2,2,2,100.0,24,1,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,5,0,2,1,2,1,5,0,0,,0,,1,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,50.0,Forward,0.5
Mohamed Salah,11,eg EGY,RW,30-052,90,1,0,0,0,2,1,0,0,47,0,1,0,0.4,0.4,0.1,2,0,24,34,70.6,6,31,4,6,2,822bd0ba,6713c1dc,e342ad68,fd962109,2,822bd0ba,2,24,34,70.6,328,113,14,19,73.7,8,11,72.7,1,2,50.0,0,0.1,0.2,1,2,4,1,6,34,33,1,0,0,0,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,47,0,1,14,33,4,47,6,2,33.3,3,50.0,31,144,61,4,0,1,3,0,36,11,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,,Forward,0.5
Thiago Alcantara,6,es ESP,LM,31-117,50,0,0,0,0,0,0,0,0,61,0,1,2,0.0,0.0,0.1,1,0,47,54,87.0,9,33,0,1,0,822bd0ba,6713c1dc,77e84962,fd962109,2,822bd0ba,2,47,54,87.0,934,268,21,23,91.3,14,15,93.3,10,11,90.9,0,0.1,0.0,1,7,1,0,9,54,50,4,3,1,2,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,61,1,8,49,4,0,61,1,0,0.0,1,100.0,33,136,48,0,0,0,1,1,42,0,0,0,0,0,1,0,0,1,0,0,0,0,8,2,3,40.0,Midfielders,0.5
Harvey Elliott,19,eng ENG,"RM,LM",19-124,40,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,4,2,17,21,81.0,4,16,1,1,0,822bd0ba,6713c1dc,b9e1436c,fd962109,2,822bd0ba,2,17,21,81.0,208,57,8,9,88.9,7,7,100.0,0,1,0.0,0,0.0,0.0,1,2,0,0,4,21,20,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,25,0,1,13,11,2,25,1,0,0.0,1,100.0,16,88,43,1,1,0,1,1,18,6,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0.0,Midfielders,0.5
Fabinho,3,br BRA,CM,28-287,58,0,0,0,0,0,0,0,0,42,1,1,2,0.0,0.0,0.0,1,0,29,37,78.4,2,21,0,0,0,822bd0ba,6713c1dc,7f3b388c,fd962109,2,822bd0ba,2,29,37,78.4,465,113,18,21,85.7,8,9,88.9,3,4,75.0,0,0.0,0.0,0,1,0,0,2,37,37,0,0,1,1,1,0,0,0,0,0,29,0,1,1,1,0,1,0,1,1,100.0,0,2,1,1,1,2,0,0,42,1,9,27,6,1,42,0,0,,0,,21,82,30,0,0,0,1,0,29,1,0,0,0,0,1,0,1,1,1,0,0,0,6,0,1,0.0,Midfielders,0.5
James Milner,7,eng ENG,LM,36-214,32,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,2,1,12,19,63.2,0,10,0,0,0,822bd0ba,6713c1dc,2f90f6b8,fd962109,2,822bd0ba,2,12,19,63.2,235,119,5,5,100.0,5,7,71.4,1,3,33.3,0,0.0,0.1,0,2,0,0,0,19,17,1,0,0,1,1,1,0,0,0,0,12,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,22,0,8,6,8,3,22,0,0,,0,,10,32,4,0,0,0,0,3,15,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0.0,Midfielders,0.5
Jordan Henderson,14,eng ENG,"RM,CM",32-050,90,0,0,0,0,2,0,0,0,73,0,1,2,0.1,0.1,0.2,3,0,46,65,70.8,6,32,1,0,0,822bd0ba,6713c1dc,935e6b8f,fd962109,2,822bd0ba,2,46,65,70.8,847,289,22,28,78.6,19,28,67.9,5,8,62.5,0,0.2,0.1,2,9,3,0,6,65,62,3,1,2,1,1,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0,73,1,14,47,13,2,73,0,0,,0,,32,165,59,1,0,1,2,0,46,2,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,,Midfielders,0.5
Andrew Robertson,26,sct SCO,LB,28-148,90,0,0,0,0,0,0,0,0,91,2,0,3,0.0,0.0,0.0,0,0,59,79,74.7,4,39,1,3,0,822bd0ba,6713c1dc,2e4f5f03,fd962109,2,822bd0ba,2,59,79,74.7,1035,241,27,33,81.8,28,34,82.4,4,10,40.0,0,0.0,0.1,0,3,0,0,4,79,58,21,3,0,0,4,17,1,0,1,0,59,0,0,2,1,1,1,0,1,1,100.0,0,3,1,2,0,2,2,0,91,2,37,30,24,4,91,3,0,0.0,3,100.0,39,149,66,1,3,1,2,0,48,9,0,0,0,2,1,1,4,0,1,0,0,0,2,3,3,50.0,Defenders,0.5
Virgil van Dijk,4,nl NED,CB,31-029,90,0,0,0,0,0,0,0,0,106,2,0,2,0.0,0.0,0.0,1,0,79,96,82.3,2,54,0,0,0,822bd0ba,6713c1dc,e06683ca,fd962109,2,822bd0ba,2,79,96,82.3,1709,555,30,35,85.7,36,40,90.0,12,19,63.2,0,0.0,0.0,0,4,0,0,2,96,92,3,3,0,1,0,0,0,0,0,0,79,1,0,2,1,2,0,0,0,1,0.0,1,2,0,2,0,2,6,0,106,19,64,39,3,1,106,0,0,,0,,54,216,84,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,1,0,1,0,9,3,0,100.0,Defenders,0.5
Joel Matip,32,cm CMR,CB,30-363,90,0,0,0,0,0,0,0,0,106,3,2,1,0.0,0.0,0.0,0,0,79,93,84.9,8,72,3,3,1,822bd0ba,6713c1dc,b217ef29,fd962109,2,822bd0ba,2,79,93,84.9,1467,534,28,31,90.3,46,52,88.5,4,7,57.1,0,0.0,0.0,0,6,1,0,8,93,92,1,1,0,0,0,0,0,0,0,0,79,0,1,3,3,2,1,0,2,3,66.7,1,1,1,0,2,5,5,0,106,12,51,53,3,0,106,3,1,33.3,2,66.7,72,550,419,3,1,0,0,1,76,0,0,0,0,0,1,0,0,2,3,0,0,0,8,0,4,0.0,Defenders,0.5
Trent Alexander-Arnold,66,eng ENG,RB,23-303,90,0,0,0,0,0,0,0,0,93,2,1,1,0.0,0.0,0.0,3,0,49,85,57.6,6,47,0,0,0,822bd0ba,6713c1dc,cd1acf9d,fd962109,2,822bd0ba,2,49,85,57.6,1023,423,19,24,79.2,20,31,64.5,10,26,38.5,0,0.0,0.1,1,3,4,1,6,85,67,17,0,0,2,9,14,3,0,3,0,49,1,1,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,2,0,93,3,22,36,35,1,93,0,0,,0,,47,145,68,0,0,0,1,0,53,4,0,0,0,2,0,0,9,1,2,0,0,0,6,0,2,0.0,Defenders,0.5
Harry Kane,10,eng ENG,FW,29-009,90,0,0,0,0,2,2,0,0,38,0,0,2,0.1,0.1,0.2,5,0,19,29,65.5,8,15,0,1,0,361ca564,09d8a999,21a66f6a,361ca564,4,33c895d4,1,19,29,65.5,308,100,8,10,80.0,9,13,69.2,1,4,25.0,0,0.2,0.1,2,5,1,0,8,29,26,2,0,0,0,2,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,38,2,5,22,11,3,38,1,0,0.0,1,100.0,15,67,27,0,0,0,0,4,28,5,0,0,0,1,0,0,2,0,0,0,0,0,3,1,1,50.0,Forward,1.0
Son Heung-min,7,kr KOR,AM,30-029,90,0,1,0,0,4,2,0,0,53,3,0,1,0.4,0.4,0.4,4,1,26,41,63.4,5,27,2,1,0,361ca564,09d8a999,92e7e919,361ca564,4,33c895d4,1,26,41,63.4,395,100,14,16,87.5,7,12,58.3,3,7,42.9,1,0.4,0.3,4,0,3,1,5,41,32,8,0,0,0,7,0,8,1,5,0,26,1,2,3,2,0,2,1,1,1,100.0,0,1,0,1,0,3,0,0,53,0,6,11,37,4,53,1,0,0.0,1,100.0,27,154,60,2,2,0,3,0,36,11,0,0,0,0,1,0,7,0,2,0,0,0,4,0,1,0.0,Midfielders,1.0
Dejan Kulusevski,21,se SWE,AM,22-103,85,1,1,0,0,2,1,0,0,58,4,0,1,0.1,0.1,0.5,9,2,38,43,88.4,4,31,5,4,1,361ca564,09d8a999,df3cda47,361ca564,4,33c895d4,1,38,43,88.4,546,136,22,23,95.7,13,14,92.9,2,3,66.7,1,0.5,0.6,3,1,3,1,4,43,40,3,0,0,0,3,1,2,0,0,0,38,0,2,4,0,2,1,1,0,3,0.0,3,1,0,1,0,4,0,0,58,1,7,16,35,8,58,4,1,25.0,3,75.0,31,275,118,5,0,5,4,0,39,12,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,,Midfielders,1.0
Lucas Moura,27,br BRA,AM,29-358,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,361ca564,09d8a999,2b622f01,361ca564,4,33c895d4,1,2,2,100.0,20,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,3,0,0,2,1,0,3,0,0,,0,,2,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Midfielders,1.0
Pierre Hojbjerg,5,dk DEN,CM,27-001,90,0,0,0,0,0,0,0,0,79,3,0,1,0.0,0.0,0.1,4,1,61,69,88.4,9,34,1,1,1,361ca564,09d8a999,8b04d6c1,361ca564,4,33c895d4,1,61,69,88.4,1234,421,20,23,87.0,26,27,96.3,11,14,78.6,0,0.1,0.1,2,8,2,0,9,69,69,0,0,1,2,0,0,0,0,0,0,61,0,0,3,2,1,2,0,2,4,50.0,2,1,0,1,0,3,2,0,79,2,18,54,8,0,79,1,1,100.0,0,0.0,34,159,93,1,1,0,3,1,63,2,0,0,0,1,2,0,0,0,2,0,0,0,6,0,1,0.0,Midfielders,1.0
Rodrigo Bentancur,30,uy URU,CM,25-042,85,0,0,0,0,0,0,1,0,71,5,1,0,0.0,0.0,0.0,2,0,56,63,88.9,5,24,0,2,2,361ca564,09d8a999,3b8674e6,361ca564,4,33c895d4,1,56,63,88.9,900,250,27,31,87.1,20,20,100.0,6,9,66.7,0,0.0,0.0,0,7,0,0,5,63,62,1,1,0,1,1,0,0,0,0,0,56,0,0,5,4,1,3,1,2,2,100.0,0,0,0,0,1,6,2,0,71,4,18,41,13,0,71,2,2,100.0,0,0.0,24,96,45,0,0,0,0,0,50,2,1,0,0,2,0,0,1,1,4,0,0,0,10,0,1,0.0,Midfielders,1.0
Yves Bissouma,38,ml MLI,CM,25-341,5,0,0,0,0,1,0,1,0,8,1,0,1,0.0,0.0,0.0,1,0,4,5,80.0,0,1,0,0,0,361ca564,09d8a999,6c203af0,361ca564,4,33c895d4,1,4,5,80.0,69,1,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,,0,1,1,0,0,1,0,0,8,1,4,3,1,0,8,0,0,,0,,1,5,5,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Midfielders,1.0
Ryan Sessegnon,19,eng ENG,WB,22-080,65,1,0,0,0,2,1,1,0,58,2,0,2,0.4,0.4,0.0,1,0,36,48,75.0,1,13,1,0,0,361ca564,09d8a999,6aa3e78b,361ca564,4,33c895d4,1,36,48,75.0,564,60,20,21,95.2,14,22,63.6,2,4,50.0,0,0.0,0.0,0,0,1,0,1,48,34,14,0,0,0,4,14,0,0,0,0,36,0,1,2,2,0,2,0,0,0,,0,2,0,2,0,2,2,0,58,5,18,19,21,2,58,0,0,,0,,13,47,27,1,2,0,1,1,28,10,1,0,0,1,0,1,4,0,2,0,0,0,2,2,0,100.0,Defenders,1.0
